,p_sym
0,0.06681431653886183
1,0.6092185976349543
2,0.933757301905373
3,0.2787445293858226
4,0.0375527410580605
5,0.8474642821313122
6,0.543860550078958
7,0.456559828811245
8,0.04725688933191419
9,0.028204392791000177
10,0.30418997809004045
11,0.1983677399649667
12,0.8455135402849986
13,0.35052895940600026
14,0.8558007285915141
15,0.7225675889266737
16,0.5884830948860778
17,0.6119787005774464
18,0.23701900355048755
19,0.6730872569318861
20,0.07702707093448513
21,0.24470446050532713
22,0.8557130529137543
23,0.9818002693922132
24,0.8715554869635432
25,0.24103022709839805
26,0.7673787609839718
27,0.6753366911166908
28,0.666316716343034
29,0.7140791739282084
30,0.12094394043263468
31,0.8656962917832188
32,0.6413528654940387
33,0.10604620113325447
34,0.007218318385518008
35,0.3453967599975528
36,0.219586384895595
37,0.5851691632710576
38,0.7000509477025731
39,0.7841287395757071
40,0.5822514924552928
41,0.005401041504964343
42,0.4307724710340285
43,0.348497644617778
44,0.7510331366437022
45,0.15412645187808305
46,0.114889396529959
47,0.7349569973096072
48,0.42421374141491386
49,0.5924519857195033
50,0.262439379933324
51,0.7676224201026988
52,0.4357897878003496
53,0.17016366081906253
54,0.23153134192569202
55,0.5985406530224158
56,0.48201382690213423
57,0.7850806372070256
58,0.6547758777732701
59,0.7802112838557518
60,0.6072851519932291
61,0.03864152126924425
62,0.688107919506278
63,0.10243297441993127
64,0.14990983112731548
65,0.6776748867860558
66,0.8592430574887568
67,0.07775647109961092
68,0.6440637341170058
69,0.44734069104479457
70,0.35595069633631093
71,0.048562082051035294
72,0.08422222013609126
73,0.5996063907102318
74,0.5055716533461094
75,0.04583834982741619
76,0.520138630862912
77,0.925906739727914
78,0.35622321014247615
79,0.7255107866589882
80,0.9137159654934389
81,0.3508713440826918
82,0.8099673922165647
83,0.8428567758753408
84,0.9690239299437678
85,0.4454197087301379
86,0.8567175819362568
87,0.5178990280556465
88,0.35588219739746996
89,0.1592270480045157
90,0.06040339106820425
91,0.7435359859507665
92,0.36063518408529593
93,0.3889427145084212
94,0.842005146151719
95,0.9322443169585259
96,0.8679300285325198
97,0.6669400112560044
98,0.7508783945969172
99,0.5245875357907216
100,0.9347483905312034
101,0.9936003284376093
102,0.72295114412232
103,0.7786200642769904
104,0.6849467870070879
105,0.916411972587601
106,0.3130729822181674
107,0.666277037508316
108,0.9520817014919883
109,0.19114947953195882
110,0.7857338712996738
111,0.0886698208524136
112,0.5654695698688535
113,0.10360602043406508
114,0.18859419128994726
115,0.9449563843174719
116,0.7293550409114194
117,0.6826929107661659
118,0.5826623801944203
119,0.7558731907540601
